Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_Value,Cpu_Generation,Memory_Type,Gpu_Category
MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,2.8kg,33633173.6928,1,2,0,Card rời
Acer,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256gb ssd,amd radeon r5,Windows 10,2.23kg,7514987.3568,2,other,1,Khác
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32gb flash storage,intel hd graphics 500,Windows 10,1.1kg,4406442.48,1,other,0,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128gb ssd +  1tb hdd,amd radeon 530,Windows 10,2.33kg,13523772.5568,1,1,0,Khác
HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1tb ssd,intel uhd graphics 620,Windows 10,1.29kg,39241373.2128,1,2,1,Card onboard
Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16gb flash storage,intel hd graphics 510,Chrome OS,1.45kg,7369174.169280001,1,other,0,Card onboard
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.95kg,15702958.656000001,1,1,1,Card onboard
Acer,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128gb flash storage,intel hd graphics 405,Windows 10,1.4kg,7771362.192,1,other,0,Card onboard
HP,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.48kg,20702267.942399997,1,2,1,Card onboard
Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4GB,1tb hdd,nvidia geforce 920mx,Windows 10,2.79kg,9437798.6208,1,1,2,Card rời
Asus,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,2kg,17529629.3568,1,2,1,Card onboard
HP,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8GB,1tb hdd,intel uhd graphics 620,Windows 10,2.1kg,14453131.3344,1,2,2,Card onboard
Acer,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8GB,256gb ssd,amd radeon rx 540,Windows 10,2.2kg,10559438.524799999,2,other,1,Khác
Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32gb flash storage,intel hd graphics 500,Windows 10,1.44kg,4678840.7424,1,other,0,Card onboard
Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6GB,1tb hdd,intel hd graphics 620,Windows 10,8.23kg,8796861.5328,1,1,2,Card onboard
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,nvidia geforce 940mx,Windows 10,1.7kg,16822996.21728,1,2,1,Card rời
HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.26kg,21391275.312000003,1,2,1,Card onboard
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,1tb ssd,nvidia geforce gtx 1050,Windows 10,2.06kg,42285824.38080001,1,2,1,Card rời
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,Windows 10,2.7kg,19212089.2128,1,2,0,Card rời
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,2.0kg,15110091.8496,1,1,1,Card onboard
Asus,Notebook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd +  1tb hdd,intel hd graphics 620,Windows 10,2kg,21375251.884800002,1,2,0,Card onboard
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1tb hdd,intel hd graphics 520,Windows 10,1.85kg,7194518.8128,1,3,2,Card onboard
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256gb ssd,nvidia geforce gtx 1050,Windows 10,2.5kg,16007403.7728,1,2,1,Card rời
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.48kg,20317705.6896,1,1,1,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.84kg,18330800.7168,1,1,1,Card onboard
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1tb hdd,intel hd graphics 500,Linux,2kg,4406282.245728,1,other,2,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,nvidia geforce 940mx,Windows 10,2kg,18310771.432800002,1,1,1,Card rời
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500gb hdd,intel hd graphics,Linux,2.2kg,4404840.13728,1,other,2,Card onboard
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,2tb hdd,amd radeon 530,Windows 10,2.2kg,14405061.052800002,2,other,2,Khác
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1tb hdd,nvidia geforce 930mx,Windows 10,2.1kg,11472773.875200002,1,3,2,Card rời
Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,512gb ssd,intel uhd graphics 620,Windows 10,1.4kg,33633173.6928,1,2,1,Card onboard
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.2kg,25300991.5488,1,2,1,Card onboard
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  2tb hdd,nvidia geforce gtx 1050 ti,Windows 10,2.4kg,18090449.3088,1,2,0,Card rời
HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32gb flash storage,intel hd graphics 400,Windows 10,1.44kg,4470536.188800001,1,other,0,Card onboard
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16GB,512gb ssd +  256gb ssd,intel uhd graphics 620,Windows 10,1.88kg,25765030.000512,1,2,1,Card onboard
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32gb flash storage,intel hd graphics 500,Windows 10,1.5kg,6008785.2,1,other,0,Card onboard
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1tb hdd,amd radeon 530,Windows 10,0.0002kg,10623532.2336,1,1,2,Khác
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.84kg,20894549.0688,1,2,1,Card onboard
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,2.7kg,22577008.9248,1,2,0,Card rời
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256gb ssd,nvidia quadro m1200,Windows 10,2.6kg,27853042.798944,1,2,1,Card rời
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512gb ssd,nvidia geforce 930m,Windows 10,2.4kg,22480868.3616,1,2,1,Card rời
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128gb ssd +  2tb hdd,amd radeon 530,Windows 10,2.02kg,15557145.468480002,1,2,0,Khác
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1tb hdd,intel hd graphics 500,No OS,2.2kg,5159383.324128,1,other,2,Card onboard
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1tb hdd,nvidia geforce gtx 1050,Windows 10,2.65kg,16007403.7728,1,1,2,Card rời
Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,2tb hdd,intel hd graphics 620,Windows 10,2.36kg,8930977.618464,1,1,2,Card onboard
Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.36kg,22865430.6144,1,1,1,Card onboard
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500gb hdd,intel hd graphics 520,Windows 10,1.86kg,7034284.5408,1,3,2,Card onboard
Asus,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,2kg,15142138.704,1,1,1,Card onboard
Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,128gb ssd +  1tb hdd,nvidia geforce gtx 940mx,Windows 10,2.8kg,11520844.1568,1,1,0,Card rời
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1tb hdd,intel hd graphics 620,Windows 10,1.86kg,10238969.9808,1,1,2,Card onboard
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,256gb ssd,nvidia geforce 920mx,No OS,2.2kg,7995690.172800001,1,3,1,Card rời
HP,Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8GB,2tb hdd,intel hd graphics 405,Windows 10,2.04kg,6233113.180799999,1,other,2,Card onboard
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128gb ssd +  1tb hdd,amd radeon 530,Windows 10,2.8kg,17385418.512000002,1,1,0,Khác
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,No OS,2.4kg,12962952.604799999,1,1,0,Card rời
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,amd radeon r7 m445,Windows 10,2.33kg,14405061.052800002,1,2,1,Khác
HP,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.36kg,28040997.6,1,2,1,Card onboard
Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,512gb ssd +  2tb hdd,nvidia geforce gt 940mx,Windows 10,2.26kg,17609746.4928,1,2,0,Card rời
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,128gb ssd,amd radeon r5,Windows 10,2.1kg,6825979.987199999,2,other,1,Khác
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256gb ssd +  1tb hdd,amd radeon rx 580,Windows 10,3.25kg,35235516.4128,2,other,0,Khác
Lenovo,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4GB,128gb ssd,amd radeon r5,Windows 10,2.6kg,7835455.9008,2,other,1,Khác
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.62kg,13924518.471072001,1,2,1,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,256gb ssd,amd radeon r5,Windows 10,1.91kg,7835295.6665280005,2,other,1,Khác
Lenovo,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4GB,128gb ssd,intel hd graphics 500,Windows 10,1.59kg,8860955.241600001,1,other,1,Card onboard
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.60GHz,4GB,500gb hdd,intel hd graphics 400,Windows 10,1.8kg,4951239.0048,1,other,2,Card onboard
Asus,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32gb flash storage,intel hd graphics 500,Windows 10,1.5kg,4582700.1792,1,other,0,Card onboard
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1tb hdd,nvidia geforce gtx 1050,Linux,2.4kg,13555819.4112,1,2,2,Card rời
HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,3.35kg,19083901.7952,1,2,0,Card rời
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128gb ssd,intel hd graphics 520,No OS,1.85kg,6465452.8752,1,3,1,Card onboard
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,Windows 10,2.3kg,26518772.016,1,2,0,Card rời
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,nvidia geforce 940mx,Windows 10,1.5kg,17609746.4928,1,1,1,Card rời
Asus,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512gb ssd,intel hd graphics 620,Windows 10,1.1kg,28023371.830080003,1,2,1,Card onboard
Lenovo,Ultrabook,14,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8GB,512gb ssd,intel hd graphics 620,Windows 10,1.13kg,36565460.870400004,1,2,1,Card onboard
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128gb ssd,intel hd graphics 620,Windows 10,1.5kg,8796861.5328,1,3,1,Card onboard
Dell,Workstation,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8GB,500gb hdd,amd firepro w5130m,Windows 10,2.23kg,21936071.8368,1,1,2,Khác
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8GB,256gb ssd,nvidia quadro m1200,Windows 10,2kg,34210017.072000004,1,2,1,Card rời
Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,512gb ssd,intel hd graphics 620,Windows 10,1.42kg,40202778.844799995,1,2,1,Card onboard
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1tb hdd,nvidia geforce gtx 1050,Windows 10,3kg,16648340.8608,1,2,2,Card rời
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,Windows 10,3kg,25493272.6752,1,2,0,Card rời
Acer,Notebook,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12GB,1tb hdd,nvidia geforce mx130,Windows 10,2.2kg,11120098.242528,1,1,2,Card rời
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256gb ssd,nvidia geforce gtx 1050 ti,Windows 10,2.7kg,21615603.2928,1,2,1,Card rời
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,amd radeon r7 m445,Linux,2.33kg,12480166.743264,1,2,1,Khác
HP,Ultrabook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,256gb ssd,amd radeon 520,Windows 10,1.91kg,7995690.172800001,2,other,1,Khác
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,amd radeon rx 550,Windows 10,2.1kg,19701765.148032002,1,2,1,Khác
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.9kg,15029974.7136,1,1,1,Card onboard
Dell,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8GB,256gb ssd,nvidia quadro m1200,Windows 10,1.78kg,43455534.5664,1,2,1,Card rời
Lenovo,Ultrabook,14,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,1tb ssd,intel hd graphics 620,Windows 10,1.13kg,42061496.4,1,2,1,Card onboard
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1tb hdd,intel hd graphics 500,Windows 10,2.2kg,4903168.7232,1,other,2,Card onboard
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.9kg,24499820.1888,1,2,0,Card rời
Lenovo,Notebook,25.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd +  1tb hdd,amd radeon rx 550,Windows 10,2.1kg,18338812.4304,1,1,0,Khác
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256gb ssd,nvidia geforce gtx 1050,Linux,2.5kg,14084592.508800002,1,2,1,Card rời
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,2.8kg,36036687.7728,1,2,0,Card rời
Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512gb ssd,intel hd graphics 620,Windows 10,1.10kg,30011879.145600002,1,2,1,Card onboard
Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512gb ssd,intel hd graphics 520,Windows 10,1.2kg,27992927.318400003,1,2,1,Card onboard
Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,512gb ssd,intel hd graphics,Windows 10,1.36kg,26919357.696,1,2,1,Card onboard
Lenovo,Notebook,35.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500gb hdd,intel hd graphics 520,Windows 10,2.2kg,6553581.7248,1,3,2,Card onboard
Lenovo,Notebook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32gb flash storage,intel hd graphics 500,Windows 10,1.15kg,4878332.41104,1,other,0,Card onboard
Lenovo,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,512gb ssd,nvidia quadro m1200,Windows 10,2.67kg,30845097.36,1,2,1,Card rời
Lenovo,Ultrabook,14,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8GB,512gb ssd,nvidia geforce gt 940mx,Windows 10,1.7kg,31133519.049599998,1,2,1,Card rời
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1tb hdd,amd radeon 520,Windows 10,2.1kg,7514987.3568,1,3,2,Khác
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256gb ssd,intel hd graphics 520,Windows 10,1.6kg,12642644.295072,1,2,1,Card onboard
Asus,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.27kg,14869740.441599999,1,1,1,Card onboard
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256gb ssd,amd radeon r5 m430,Linux,2.3kg,9596430.55008,1,1,1,Khác
Dell,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4GB,128gb ssd,intel hd graphics 520,Windows 10,1.65kg,11040141.3408,1,3,1,Card onboard
HP,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256gb ssd,intel hd graphics 520,Windows 10,1.43kg,24035140.8,1,2,1,Card onboard
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1tb hdd,intel hd graphics 620,Windows 10,2.14kg,8651849.51664,1,1,2,Card onboard
Lenovo,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd,amd radeon rx 550,Windows 10,1.75kg,19474552.950336,1,2,1,Khác
Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512gb ssd,nvidia geforce gtx 1050,Windows 10,2kg,30428488.252800003,1,2,1,Card rời
Chuwi,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6GB,64gb flash storage,intel hd graphics 500,Windows 10,1.4kg,7194518.8128,1,other,0,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,256gb ssd,intel hd graphics 630,Windows 10,2.31kg,22865430.6144,1,2,1,Card onboard
Asus,Notebook,35.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1tb hdd,nvidia geforce 940mx,Linux,2.3kg,9565986.0384,1,3,2,Card rời
Dell,Gaming,27.3,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,4.42kg,44849572.7328,1,2,0,Card rời
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,Windows 10,2.62kg,18571152.1248,1,2,0,Card rời
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256gb ssd +  2tb hdd,amd radeon 530,Windows 10,2.02kg,18305163.23328,1,2,0,Khác
Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256gb ssd,intel hd graphics 620,Linux,1.6kg,17609746.4928,1,2,1,Card onboard
HP,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,Windows 10,3.35kg,32030830.9728,1,2,0,Card rời
Mediacom,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32gb ssd,intel hd graphics 500,Windows 10,1.16kg,4791004.7328,1,other,1,Card onboard
Samsung,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16gb flash storage,intel hd graphics 400,Chrome OS,1.15kg,4310301.9168,1,other,0,Card onboard
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.4kg,16183661.472000001,1,2,1,Card onboard
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,128gb ssd,intel hd graphics 620,Windows 10,1.7kg,9598032.892800001,1,3,1,Card onboard
Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,512gb ssd,nvidia geforce 940mx,Windows 10,2.3kg,39177279.504,1,2,1,Card rời
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,512gb ssd,nvidia quadro m2200m,Windows 10,2.5kg,39241373.2128,1,2,1,Card rời
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1600 3.2GHz,8GB,256gb ssd +  1tb hdd,amd radeon rx 580,Windows 10,3.2kg,27159709.104000002,2,other,0,Khác
HP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500gb hdd,intel hd graphics 400,Windows 10,2.1kg,5560129.2384,1,other,2,Card onboard
Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i7 7Y75 1.3GHz,16GB,512gb ssd,intel hd graphics 615,Chrome OS,1.1kg,35235516.4128,1,2,1,Card onboard
Lenovo,Ultrabook,24,2560x1440,Intel Core i7 7500U 2.7GHz,24GB,512gb ssd,intel hd graphics 620,Windows 10,1.32kg,38167803.5904,1,2,1,Card onboard
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256gb ssd,intel hd graphics 620,Linux,2kg,8957095.8048,1,1,1,Card onboard
Lenovo,Notebook,17.3,1600x900,AMD A6-Series 9220 2.5GHz,8GB,1tb hdd,amd radeon r4,Windows 10,2.8kg,8316158.7168000005,2,other,2,Khác
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256gb ssd,amd radeon 530,Windows 10,2.2kg,12001546.972800002,1,1,1,Khác
Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,Windows 10,1.36kg,22897477.4688,1,1,1,Card onboard
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4GB,128gb ssd,intel hd graphics 505,Windows 10,2.2kg,5592176.092800001,1,other,1,Card onboard
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,Windows 10,2.2kg,17609746.4928,1,2,0,Card rời
Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256gb ssd,nvidia geforce 930mx,Windows 10,1.64kg,18891620.6688,1,1,1,Card rời
Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500gb hdd,intel hd graphics 620,Linux,2.4kg,7079150.13696,1,1,2,Card onboard
Dell,Workstation,15.6,Full HD 1920x1080,Intel Xeon E3-1505M V6 3GHz,8GB,64gb flash storage +  1tb hdd,nvidia quadro m620,Windows 10,2.23kg,31934690.4096,1,other,2,Card rời
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256gb ssd,nvidia geforce gtx 1050,Windows 10,2.2kg,16467917.070528,1,1,1,Card rời
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,16GB,512gb ssd,intel iris plus graphics 640,Windows 10 S,1.25kg,41484653.0208,1,2,1,Card onboard
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128gb ssd,intel hd graphics 620,Windows 10,1.91kg,9437798.6208,1,1,1,Card onboard
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,256gb ssd,nvidia quadro m620,Windows 10,2.17kg,31646268.720000003,1,2,1,Card rời
HP,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,512gb ssd,intel hd graphics 620,Windows 10,2.31kg,24579937.324800003,1,2,1,Card onboard
